date,rain_inches
1/12/2015,0.55
1/13/2015,0.25
1/16/2015,0.15
1/26/2015,2.19
2/6/2015,0.6
2/10/2015,0.14
2/18/2015,0.33
2/26/2015,2.15
3/2/2015,0.26
3/13/2015,0.26
3/18/2015,0.15
3/20/2015,0.27
3/26/2015,0.28
4/7/2015,0.09
4/13/2015,1.08
4/16/2015,2.485
4/20/2015,1.53
4/27/2015,0.79
4/29/2015,0.39
5/1/2015,1.965
5/13/2015,0.65
5/22/2015,0.65
5/27/2015,0.36
5/29/2015,0.06
6/3/2015,0.7
6/10/2015,2.58
6/12/2015,1.24
6/19/2015,0.54
6/23/2015,1.81
6/29/2015,0.42
7/2/2015,1.01
7/10/2015,1.37
7/15/2015,0.99
7/16/2015,0.72
7/17/2015,1.73
7/20/2015,2.15
7/21/2015,0.12
7/24/2015,0.18
7/29/2015,0.48
7/30/2015,2.97
8/3/2015,1.97
8/7/2015,0.72
8/12/2015,0.35
8/13/2015,3.09
8/18/2015,1.08
8/19/2015,0.16
8/26/2015,1.12
8/27/2015,2.38
8/31/2015,0.46
9/3/2015,0.46
9/9/2015,0.51
9/11/2015,0.12
9/14/2015,0.46
9/17/2015,1.89
9/18/2015,0.8
10/2/2015,0.81
10/6/2015,1.41
10/8/2015,2.22
11/2/2015,0.47
11/5/2015,0.57
11/8/2015,1.04
11/10/2015,2.25
11/20/2015,0.88
11/25/2015,0.09
12/4/2015,1.74
12/15/2015,0.23
12/17/2015,6.76
12/18/2015,0.8
12/24/2015,1
1/4/2016,2.35
1/17/2016,3.9
