Type,Site,Date,Compound,Conc,Volume
TP,1,2/1/2015,Metolachlor,0.09,
TP,1,2/1/2015,Tebuconazole,,
TP,1,2/1/2015,2-Phenylphenol,,
TP,1,2/1/2015,Flutolanil,,
TP,1,2/1/2015,Biphenyl,,
TP,1,2/1/2015,Atrazine,,
TP,1,2/1/2015,Metalaxyl,,
TP,1,2/1/2015,Acetochlor,,
TP,1,2/1/2015,Alachlor,,
TP,1,2/1/2015,Anthraquione,,
TP,1,2/1/2015,Endosulfan Lactone,,
TP,1,2/1/2015,DEA,,
TP,1,2/1/2015,Endosulfan ether,,
TP,1,2/1/2015,Cyprodinil,,
TP,1,2/1/2015,Triadimefon,0.14,
TP,1,2/1/2015,Chlorothalonil,0.28,
TP,1,2/1/2015,Diphenylamine,,
TP,1,2/1/2015,Fipronil,0.17,
TP,1,2/1/2015,Myclobutanil,,
TP,1,2/1/2015,Oxyfluorfen,,
TP,1,2/1/2015,Bifenthrin,,
TP,1,2/1/2015,Fludioxonil,,
TP,1,2/1/2015,Endosulfan sulfate,,
TP,1,2/1/2015,Ethalfluralin,,
TP,1,2/1/2015,Pendimethalin,,
TP,1,2/1/2015,Benfluralin,,
TP,1,2/1/2015,Diazinon,,
TP,1,2/1/2015,Malathion,,
TP,1,2/1/2015,Oxadiazon,,
TP,1,2/1/2015,Piperonyl butoxide,,
TP,1,2/1/2015,Propyzamide,0.15,
TP,1,2/1/2015,THPI (Tetrahydrophthalimide),,
TP,1,3/15/2015,Metolachlor,0.09,
TP,1,3/15/2015,Tebuconazole,,
TP,1,3/15/2015,2-Phenylphenol,0.16,
TP,1,3/15/2015,Flutolanil,,
TP,1,3/15/2015,Biphenyl,,
TP,1,3/15/2015,Atrazine,,
TP,1,3/15/2015,Metalaxyl,,
TP,1,3/15/2015,Acetochlor,,
TP,1,3/15/2015,Alachlor,,
TP,1,3/15/2015,Anthraquione,,
TP,1,3/15/2015,Endosulfan Lactone,,
TP,1,3/15/2015,DEA,,
TP,1,3/15/2015,Endosulfan ether,,
TP,1,3/15/2015,Cyprodinil,,
TP,1,3/15/2015,Triadimefon,,
TP,1,3/15/2015,Chlorothalonil,,
TP,1,3/15/2015,Diphenylamine,,
TP,1,3/15/2015,Fipronil,,
TP,1,3/15/2015,Myclobutanil,,
TP,1,3/15/2015,Oxyfluorfen,,
TP,1,3/15/2015,Bifenthrin,,
TP,1,3/15/2015,Fludioxonil,,
TP,1,3/15/2015,Endosulfan sulfate,,
TP,1,3/15/2015,Ethalfluralin,,
TP,1,3/15/2015,Pendimethalin,,
TP,1,3/15/2015,Benfluralin,,
TP,1,3/15/2015,Diazinon,,
TP,1,3/15/2015,Malathion,,
TP,1,3/15/2015,Oxadiazon,,
TP,1,3/15/2015,Piperonyl butoxide,,
TP,1,3/15/2015,Propyzamide,,
TP,1,3/15/2015,THPI (Tetrahydrophthalimide),,
TP,1,4/12/2015,Metolachlor,0.2,
TP,1,4/12/2015,Tebuconazole,,
TP,1,4/12/2015,2-Phenylphenol,0.16,
TP,1,4/12/2015,Flutolanil,,
TP,1,4/12/2015,Biphenyl,,
TP,1,4/12/2015,Atrazine,,
TP,1,4/12/2015,Metalaxyl,,
TP,1,4/12/2015,Acetochlor,,
TP,1,4/12/2015,Alachlor,,
TP,1,4/12/2015,Anthraquione,0.27,
TP,1,4/12/2015,Endosulfan Lactone,,
TP,1,4/12/2015,DEA,,
TP,1,4/12/2015,Endosulfan ether,,
TP,1,4/12/2015,Cyprodinil,,
TP,1,4/12/2015,Triadimefon,,
TP,1,4/12/2015,Chlorothalonil,,
TP,1,4/12/2015,Diphenylamine,,
TP,1,4/12/2015,Fipronil,0.18,
TP,1,4/12/2015,Myclobutanil,,
TP,1,4/12/2015,Oxyfluorfen,,
TP,1,4/12/2015,Bifenthrin,,
TP,1,4/12/2015,Fludioxonil,,
TP,1,4/12/2015,Endosulfan sulfate,,
TP,1,4/12/2015,Ethalfluralin,,
TP,1,4/12/2015,Pendimethalin,,
TP,1,4/12/2015,Benfluralin,,
TP,1,4/12/2015,Diazinon,,
TP,1,4/12/2015,Malathion,,
TP,1,4/12/2015,Oxadiazon,,
TP,1,4/12/2015,Piperonyl butoxide,,
TP,1,4/12/2015,Propyzamide,,
TP,1,4/12/2015,THPI (Tetrahydrophthalimide),,
TP,1,5/22/2015,Metolachlor,0.09,
TP,1,5/22/2015,Tebuconazole,,
TP,1,5/22/2015,2-Phenylphenol,,
TP,1,5/22/2015,Flutolanil,,
TP,1,5/22/2015,Biphenyl,,
TP,1,5/22/2015,Atrazine,,
TP,1,5/22/2015,Metalaxyl,,
TP,1,5/22/2015,Acetochlor,,
TP,1,5/22/2015,Alachlor,,
TP,1,5/22/2015,Anthraquione,,
TP,1,5/22/2015,Endosulfan Lactone,,
TP,1,5/22/2015,DEA,,
TP,1,5/22/2015,Endosulfan ether,,
TP,1,5/22/2015,Cyprodinil,,
TP,1,5/22/2015,Triadimefon,,
TP,1,5/22/2015,Chlorothalonil,,
TP,1,5/22/2015,Diphenylamine,,
TP,1,5/22/2015,Fipronil,,
TP,1,5/22/2015,Myclobutanil,,
